Código Órgão Superior	Nome Órgão Superior	Código Órgão	Nome Órgao	Código Unidade Gestora	Nome Unidade Gestora	Código Grupo Despesa	Nome Grupo Despesa	Código Elemento Despesa	Nome Elemento Despesa	Código Função	Nome Função	Código Subfunção	Nome Subfunção	Código Programa	Nome Programa	Código Ação	Nome Ação	Linguagem Cidadã	Código Favorecido	Nome Favorecido	Número Documento	Gestão Pagamento	Data Pagamento	Valor
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	08	Outros Benefícios Assistenciais do servidor e do militar	04	Administração	331	Proteção e Benefícios ao Trabalhador	2101	Programa de Gestão e Manutenção da Presidência da República	2010	Assistência Pré-Escolar aos Dependentes dos Servidores Civis, Empregados e Militares	Assistência Pré-Escolar	00360305000104	CAIXA ECONOMICA FEDERAL [CEF MATRIZ]	2017OB800519	00001	31/01/2017	12392,40
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00087163000153	APECE SERVICOS GERAIS LTDA [APECE]	2017OB800596	00001	31/01/2017	25477,84
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00543061000103	UEDAMA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA - EPP	2017DF800132	00001	30/01/2017	22,94
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00543061000103	UEDAMA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA - EPP	2017DF800141	00001	31/01/2017	109,03
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00543061000103	UEDAMA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA - EPP	2017OB800495	00001	30/01/2017	1019,86
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00543061000103	UEDAMA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA - EPP	2017OB800603	00001	31/01/2017	4846,97
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00681882000106	ENTHERM ENGENHARIA DE SISTEMAS TERMOMECANICOS LTDA - EPP [ENTHERM]	2017DF800100	00001	20/01/2017	4623,03
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00700518000138	POLI ENGENHARIA LTDA [POLI ENGENHARIA]	2017DF800127	00001	27/01/2017	396,35
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00700518000138	POLI ENGENHARIA LTDA [POLI ENGENHARIA]	2017OB800059	00001	03/01/2017	8089,00
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	00700518000138	POLI ENGENHARIA LTDA [POLI ENGENHARIA]	2017OB800476	00001	27/01/2017	5173,41
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	01586756000127	CADMO COSTA OLIVEIRA - ME [CADMO COTTA PRODUCOES]	2017OB800065	00001	05/01/2017	1989,45
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	02437839000117	ANDERSON HENRIQUE DA SILVA MORAES  - ME [LICITATUDO DISTRIBUICAO E COMERCIO]	2017OB800352	00001	20/01/2017	654,00
20000	PRESIDENCIA DA REPUBLICA	20101	PRESIDENCIA DA REPUBLICA	110001	SECRETARIA DE ADMINISTRACAO/PR	3	Outras Despesas Correntes	30	Material de Consumo	04	Administração	122	Administração Geral	2101	Programa de Gestão e Manutenção da Presidência da República	2000	Administração da Unidade	Administração de unidade	02885194000185	MOTIVO X - COMERCIO DE MERCADORIAS E SERVICOS EIRELI - EPP [MOTIVO X - MERCADORIAS E SERVICOS]	2017DF800134	00001	30/01/2017	7,53
